SAMPLE	NUMBER_SEQ	MEAN_SIZE	STATUS	STRAIN
1	63428	272.410843791386	1	Sheep
2	56985	279.342212863034	1	Sheep
3	57001	311.507534955527	1	Sheep
4	78030	239.513059079841	1	Sheep
5	52761	319.830063872936	1	Sheep
6	59911	268.219041578341	1	Sheep
7	59321	302.86097671988	1	Sheep
8	15929	260.640215958315	1	Sheep
9	43828	315.736675184813	1	Sheep
10	34560	276.458072916667	1	Sheep
11	51682	283.091250338609	1	Cow
12	82265	297.298000364675	1	Cow
13	39724	256.299919444165	1	Cow
14	67157	327.664949297914	1	Cow
15	67264	300.778841579448	1	Cow
16	60736	309.271107744995	1	Cow
17	66645	313.609963238052	1	Cow
18	52706	277.887659848974	1	Cow
19	61964	296.007843263831	1	Cow
20	65436	308.574836481448	1	Cow
21	59648	273.363348310086	1	Horse
22	61808	303.216897488998	1	Horse
23	63848	304.788466357599	1	Horse
24	69507	304.761664292805	1	Horse
25	59130	279.58455944529	1	Horse
26	70517	309.859622502375	0	Sheep
27	49899	304.057395939798	0	Sheep
28	63682	291.575845607864	0	Sheep
29	59785	283.465083214853	0	Sheep
30	71858	315.52396392886	1	Sheep
31	55274	268.415367080363	0	Sheep
32	60984	299.916027154664	0	Sheep
33	71149	339.290264093663	0	Sheep
34	63579	276.218090879064	0	Sheep
35	59002	288.117945154402	0	Sheep
36	56602	269.293063849334	1	Cow
37	53156	293.941982090451	1	Cow
38	55661	307.031961337382	1	Cow
39	44713	248.160288953995	1	Cow
40	64555	298.521152505615	1	Cow
41	68385	317.69538641515	1	Cow
42	69976	302.44876814908	1	Cow
43	56782	316.35188968335	1	Cow
44	67623	291.494728125046	1	Cow
45	61179	293.887886366237	1	Cow
46	56248	308.263920494951	0	Horse
47	60641	305.755759304761	0	Horse
48	66560	301.167608173077	0	Horse
49	59391	309.900927749996	0	Horse
50	74084	286.499959505426	0	Horse
51	50960	302.384124803768	1	Sheep
52	54945	284.962253162253	1	Sheep
53	71453	275.681119057282	1	Sheep
54	44762	276.995911710826	1	Sheep
55	71619	318.286390482972	1	Sheep
56	51332	282.037871113535	1	Sheep
57	62561	288.012883425776	1	Sheep
58	63958	281.920697958035	1	Sheep
59	25518	303.501645897014	1	Sheep
60	64327	295.791005332131	1	Sheep
61	51561	310.554837958922	0	Cow
62	68949	302.663490405952	0	Cow
63	63976	313.078279354758	0	Cow
64	73928	320.659425386863	0	Cow
65	71350	292.4295865452	0	Cow
66	55598	288.574067412497	0	Cow
67	68443	282.411101208305	0	Cow
68	60396	261.774587721041	0	Cow
69	62399	302.800862193304	0	Cow
70	21274	292.679279872144	0	Cow
71	56007	257.540289606656	1	Horse
72	71657	311.160361164994	1	Horse
73	58378	290.583490355956	1	Horse
74	78034	323.390650229387	1	Horse
75	60206	283.929475467561	1	Horse
76	48442	264.110957433632	1	Pig
77	67865	290.045207397038	1	Pig
78	19779	230.338237524647	0	Pig
